150 100
2 21 14
6 69 11
2 58 93
2 26 84
1 87 40
7 146 85
6 112 45
9 41 41
7 42 49
5 81 45
8 19 45
6 128 90
9 63 73
6 113 55
9 4 68
9 142 91
4 59 72
5 38 50
6 1 47
6 78 43
4 41 99
9 44 26
6 84 80
3 135 17
9 139 44
1 109 51
3 98 79
6 136 84
4 76 54
5 136 11
3 19 26
7 100 41
2 74 24
2 144 59
8 100 45
3 55 19
3 76 79
5 9 6
6 82 72
1 95 79
8 59 72
9 148 30
2 57 45
3 86 30
2 12 60
7 137 51
6 8 82
8 43 29
8 117 83
6 123 90
6 16 76
8 66 32
9 63 3
6 29 63
4 135 51
4 104 26
4 94 2
9 31 91
7 70 70
3 47 77
9 110 100
8 98 79
4 24 22
2 47 74
6 30 47
1 105 57
9 124 38
5 135 72
7 66 80
2 112 9
9 138 74
3 114 98
8 112 91
7 82 88
7 102 61
9 95 55
2 9 23
3 33 60
8 27 63
3 127 7
9 135 33
3 61 50
7 146 40
7 20 68
8 134 68
7 142 48
8 81 59
8 23 3
2 19 21
5 50 83
9 57 82
9 23 36
1 24 41
3 52 61
3 73 62
9 17 72
8 141 14
3 82 62
5 149 80
4 54 2
